n,k,repeticiones,tiempo_promedio_ms,proporcion_ordenado
1048576,4,5,117.8,1
1048576,8,5,104,1
1048576,16,5,107.4,1
1048576,32,5,138.6,1
1048576,64,5,274.6,1
1048576,128,5,359.2,1
4194304,4,5,590.2,1
4194304,8,5,937.2,1
4194304,16,5,848.2,1
4194304,32,5,988,1
4194304,64,5,1512.4,1
4194304,128,5,3967.2,1
16777216,4,5,3456.8,1
16777216,8,5,2431,1
16777216,16,5,3032.2,1
16777216,32,5,4049.4,1
16777216,64,5,5991.2,1
16777216,128,5,14601.8,1
67108864,4,5,19248.4,1
67108864,8,5,12421.2,1
67108864,16,5,14674.8,1
67108864,32,5,22980.2,1
67108864,64,5,37571.6,1
67108864,128,5,62290.4,1
